"MovieName","Genre"
"Judgment at Nuremberg","Drama"
"Junior","Comedy"
"Jurassic Park","Adventure"
"Jurassic Park III","Adventure"
"Jurassic World","Action"
"Just Cause","Action"
"Just Friends","Comedy"
"Killshot","Crime"
"Kindergarten Cop","Action"
"Kingsman: The Secret Service","Crime"
"Krampus","Horror"
"Kubo and the Two Strings","Adventure"
"Kung Fu Panda","Animation"
"Kung Fu Panda 3","Action"
"Labyrinth","Family"
"Lady and the Tramp","Family"
"Lady and the Tramp II: Scamp's Adventure","Animation"
"Lakeview Terrace","Drama"
"Lap Dance","Drama"
"Lara Croft: Tomb Raider","Adventure"
"Lara Croft Tomb Raider: The Cradle of Life","Action"
"Larry Gaye: Renegade Male Flight Attendant","Comedy"
"Last Cab to Darwin","Drama"
"The Last Kung Fu Monk","Action"
"Last Passenger","Action"
"Lazer Team","Action"
"Left Behind","Thriller"
"Legend","Adventure"
"Legend","Crime"
"LEGO DC Comics Super Heroes: Justice League vs. Bizarro League","Animation"
"LEGO Super Heroes: Justice League - Attack of the Legion of Doom!","Animation"
"Leon: The Professional","Thriller"
"Lethal Weapon","Adventure"
"Lethal Weapon 2","Action"
"Lethal Weapon 3","Adventure"
"Lethal Weapon 4","Action"
"Letters to Juliet","Comedy"
"Liar Liar","Comedy"
"Lilo & Stitch","Family"
"Lilo & Stitch 2: Stitch has a Glitch","Animation"
"Little Fockers","Comedy"
"Live by Night","Crime"
"LOL","Drama"
"London Has Fallen","Action"
"Looper","Action"
"Lord of Illusions","Mystery"
"Lucy","Action"
"MacGyver: Lost Treasure of Atlantis","Action"
"Maggie's Plan","Comedy"
"Magic Mike XXL","Comedy"
"Maigret Sets A Trap","Drama"
"Maleficent","Fantasy"
"Malone","Action"
"Man of Steel","Action"
"Man Up","Romance"
"Marauders","Action"
"Margin Call","Thriller"
"Mars Attacks!","Action"
"Matilda","Comedy"
"Max Payne","Action"
"Maze Runner: The Scorch Trials","Thriller"
"Me Before You","Drama"
"Mean Guns","Action"
"Mechanic: Resurrection","Action"
"Meet the Robinsons","Animation"
"Megamind","Animation"
"Megamind: The Button Of Doom","Animation"
"Men in Black","Action"
"Men in Black 3","Action"
"Men in Black II","Action"
"Mercury Rising","Action"
"Midnight Special","Adventure"
